filename,Hotspot
snipme_jpg.rf.c35b861eb8cde45aa40baaa870537685.jpg,1
IR_0222_jpg.rf.5491600a982a702e28417f86c75bf658.jpg,1
IR_0222_jpg.rf.0cd9120b7bd8b439247614e7c357eaba.jpg,1
images_20-3-_jpeg_jpg.rf.cd37b207681fdb0634709c3bf5e61b71.jpg,1
IR_0222_jpg.rf.7e9d629232c849a4570862875b1ac787.jpg,1
Medium-Scaled-PV-IR-linked-2-copy_jpg.rf.6a3564188346fecbf0f01b6095219477.jpg,1
IR_0230_jpg.rf.59b70e29a02b42a549113814a0bc4a3b.jpg,1
IR_0244_jpg.rf.7ff4f501711e27ec96f79cb13e60f7ad.jpg,1
quick-crop-and-very-good_jpg.rf.9dd28cc2eae668a8740eb372fd961dd6.jpg,1
images_20-33-_jpeg_jpg.rf.df658418600e2afe7305231d305488b8.jpg,1
quick-crop-and-very-good-top-section_jpg.rf.8ff225a7a9b4faad1f1b7ae74ceceeff.jpg,1
IR_0222_jpg.rf.b786de4b54562e0112ad8804cac1bc2e.jpg,1
IR_0224_jpg.rf.da1483ac90b2129696d605246d9b0c2d.jpg,1
images_20-35-_jpeg_jpg.rf.23f0c537a108c1e87a35b89fe2b1ea2e.jpg,1
images_20-35-_jpeg_jpg.rf.25dc61a2735016e544bce0568c50d1be.jpg,1
IR_0244_jpg.rf.d2fee498b7d5699af831cef16a045b52.jpg,1
images_20-28-_jpeg_jpg.rf.bf66f4d081125f63ab91d24d0a6d028a.jpg,1
IR_0242_jpg.rf.1936a6f35466ad56999a4ad0af0ade2b.jpg,1
images_20-31-_jpeg_jpg.rf.78ed598c6aace5d07abd1f7f0ece0377.jpg,1
imgFC524_png_jpg.rf.7dc55fd7cd65eb87a06aee030d1b6fca.jpg,1
raptor_jpg.rf.db7e826a87f760e359c45b03866c719d.jpg,1
IR_0232_jpg.rf.b85ae0ef55ba32ae4ba7e4f3ae9c3a1e.jpg,1
images_20-31-_jpeg_jpg.rf.86e36dbdea66c29a9feb9fed5456d002.jpg,1
images_20-31-_jpeg_jpg.rf.6c53c17c104e40f436b4ec7459e561c5.jpg,1
imgFC511_png_jpg.rf.587bda56287d91b91fe651e313ff539e.jpg,1
images_20-35-_jpeg_jpg.rf.df600ae04ba0433d54f5adfab9036882.jpg,1
IR_0224_jpg.rf.fdacc4dd46123ed2db6a3ff56d5e2f71.jpg,1
images_20-34-_jpeg_jpg.rf.be6c963628ed7d9237b431a45560b422.jpg,1
images_20-35-_jpeg_jpg.rf.541dcd2425f0715d65bc4543ec491007.jpg,1
IR_0242_jpg.rf.146861400950d2c16d27b3ca1267c7e6.jpg,1
IR_0238_jpg.rf.15ffb6da14d587e190e95046b205bd73.jpg,1
imgFC523_png_jpg.rf.118791f484753726b4fcbe17e911b08b.jpg,1
IR_0232_jpg.rf.ccf5a3f776c9c26a994fdea1047cbab3.jpg,1
IR_0240_jpg.rf.4b5decf2c86fe31f57cc2ba6dd5983d2.jpg,1
images_20-3-_jpeg_jpg.rf.3477bcc4b3c96124a557a0ad90bc2987.jpg,1
IR_0220_jpg.rf.ba680513345878bbe05b5e353dff5d1c.jpg,1
o_p_lo_the_002249-jpg_jpg.rf.cf256ead7eb91a9e58ff295c4372bd28.jpg,1
IR_0244_jpg.rf.c87000a3132b66c5c5a4abfabcb21744.jpg,1
raptor_jpg.rf.013ff92ffb271fe1c0d8260cfbd30321.jpg,1
IR_0238_jpg.rf.bd95ee2c3d3fb518bd1b574673a88609.jpg,1
IR_0240_jpg.rf.b4d0f374fb0fb02d337abdbc983b8cab.jpg,1
R14T4_jpg.rf.93e11a4ef2cbf1f8229aa5649f34d4db.jpg,1
images_20-34-_jpeg_jpg.rf.1d6f8017e10be938ddcf30ac252c0d55.jpg,1
R14T4_jpg.rf.68196815b5f15f88b9938797ab0802f8.jpg,1
images_20-34-_jpeg_jpg.rf.a6fa88b7649236a3e5b254bbfd74f995.jpg,1
