vdc1,vdc2,idc1,idc2,irradiance,temperature,fault_label,power_string1,power_string2,total_power,voltage_ratio,current_ratio
0.8912,0.7807,0.0691,0.0118,1.2202,24.0234,Normal Operation,0.06158191999999999,0.00921226,0.07079417999999998,1.1415396439093122,5.8559322033898304
280.785,290.276,1.099,1.074,166.666,32.4896,Normal Operation,308.582715,311.75642400000004,620.339139,0.967303531811104,1.0232774674115455
266.164,255.708,0.2256,0.1229,31.1874,29.7747,Normal Operation,60.04659839999999,31.4265132,91.4731116,1.0408903906017801,1.8356387306753459
260.033,270.784,9.4147,9.0677,985.089,39.8594,Normal Operation,2448.1326851,2455.3880768,4903.520761899999,0.960296767903569,1.0382676974315426
0.6229,0.7046,0.1105,0.0368,1.2358,14.0289,Normal Operation,0.06883045,0.02592928,0.09475973,0.8840476866307124,3.002717391304348
277.818,265.642,6.6592,6.5863,741.663,38.724,Normal Operation,1850.0456256,1749.5979045999998,3599.6435302,1.0458361253115094,1.0110684299227184
1.1448,1.3983,0.1103,0.0441,1.2492,14.9883,Normal Operation,0.12627144,0.06166503,0.18793647000000002,0.8187084316670242,2.5011337868480723
302.844,319.427,0.2656,0.1504,33.5496,16.079,Normal Operation,80.43536639999999,48.0418208,128.4771872,0.9480851649985755,1.7659574468085106
0.5265,0.4103,0.0597,0.0064,1.4415,-0.259,Normal Operation,0.03143205,0.00262592,0.03405797,1.283207409212771,9.328125
1.2782,1.3015,0.0476,0.008,1.4707,12.6485,Normal Operation,0.060842320000000005,0.010412000000000001,0.07125432000000001,0.9820975797157125,5.95
262.011,2.1034,8.8524,0.0434,923.336,43.3569,Open Circuit,2319.4261764000003,0.09128756,2319.5174639600004,124.56546543691167,203.97235023041472
261.221,2.1556,9.0575,0.045,949.416,44.0217,Open Circuit,2366.0092075,0.097002,2366.1062094999997,121.18250139172387,201.27777777777777
249.71,2.1549,9.2131,0.0477,967.184,51.831,Open Circuit,2300.6032010000004,0.10278873,2300.7059897300005,115.88008724302752,193.14675052410902
